t,theta_wrapped,theta_unwrapped,gap,d_cath
14.990000,4.1887759686,4.1887759686,9.993008e-04,2.000000e-05
14.995000,4.1887759566,4.1887759566,9.928732e-04,2.000000e-05
15.000000,4.1887759445,4.1887759445,9.864455e-04,2.000000e-05
15.005000,4.1887759323,4.1887759323,9.800179e-04,2.000000e-05
15.010000,4.1887759200,4.1887759200,9.735903e-04,2.000000e-05
15.015000,4.1887759077,4.1887759077,9.671626e-04,2.000000e-05
15.020000,4.1887758952,4.1887758952,9.607350e-04,2.000000e-05
15.025000,4.1887758827,4.1887758827,9.543074e-04,2.000000e-05
15.030000,4.1887758701,4.1887758701,9.478797e-04,2.000000e-05
15.035000,4.1887758574,4.1887758574,9.414521e-04,2.000000e-05
15.040000,4.1887758447,4.1887758447,9.350245e-04,2.000000e-05
15.045000,4.1887758318,4.1887758318,9.285968e-04,2.000000e-05
15.050000,4.1887758189,4.1887758189,9.221692e-04,2.000000e-05
15.055000,4.1887758059,4.1887758059,9.157416e-04,2.000000e-05
15.060000,4.1887757928,4.1887757928,9.093139e-04,2.000000e-05
15.065000,4.1887757797,4.1887757797,9.028863e-04,2.000000e-05
15.070000,4.1887757665,4.1887757665,8.964587e-04,2.000000e-05
15.075000,4.1887757532,4.1887757532,8.900311e-04,2.000000e-05
15.080000,4.1887757399,4.1887757399,8.836034e-04,2.000000e-05
15.085000,4.1887757265,4.1887757265,8.771758e-04,2.000000e-05
15.090000,4.1887757130,4.1887757130,8.707482e-04,2.000000e-05
15.095000,4.1887756995,4.1887756995,8.643205e-04,2.000000e-05
15.100000,4.1887756859,4.1887756859,8.578929e-04,2.000000e-05
15.105000,4.1887756722,4.1887756722,8.514653e-04,2.000000e-05
15.110000,4.1887756585,4.1887756585,8.450376e-04,2.000000e-05
15.115000,4.1887756448,4.1887756448,8.386100e-04,2.000000e-05
15.120000,4.1887756309,4.1887756309,8.321824e-04,2.000000e-05
15.125000,4.1887756171,4.1887756171,8.257548e-04,2.000000e-05
15.130000,4.1887756031,4.1887756031,8.193271e-04,2.000000e-05
15.135000,4.1887755891,4.1887755891,8.128995e-04,2.000000e-05
15.140000,4.1887755751,4.1887755751,8.064719e-04,2.000000e-05
15.145000,4.1887755610,4.1887755610,8.000442e-04,2.000000e-05
15.150000,4.1887755469,4.1887755469,7.936166e-04,2.000000e-05
15.155000,4.1887755327,4.1887755327,7.871890e-04,2.000000e-05
15.160000,4.1887755184,4.1887755184,7.807614e-04,2.000000e-05
15.165000,4.1887755041,4.1887755041,7.743337e-04,2.000000e-05
15.170000,4.1887754898,4.1887754898,7.679061e-04,2.000000e-05
15.175000,4.1887754754,4.1887754754,7.614785e-04,2.000000e-05
15.180000,4.1887754610,4.1887754610,7.550509e-04,2.000000e-05
15.185000,4.1887754465,4.1887754465,7.486232e-04,2.000000e-05
15.190000,4.1887754320,4.1887754320,7.421956e-04,2.000000e-05
15.195000,4.1887754174,4.1887754174,7.357680e-04,2.000000e-05
15.200000,4.1887754028,4.1887754028,7.293404e-04,2.000000e-05
15.205000,4.1887753882,4.1887753882,7.229127e-04,2.000000e-05
15.210000,4.1887753735,4.1887753735,7.164851e-04,2.000000e-05
15.215000,4.1887753588,4.1887753588,7.100575e-04,2.000000e-05
15.220000,4.1887753440,4.1887753440,7.036299e-04,2.000000e-05
15.225000,4.1887753293,4.1887753293,6.972022e-04,2.000000e-05
15.230000,4.1887753144,4.1887753144,6.907746e-04,2.000000e-05
15.235000,4.1887752995,4.1887752995,6.843470e-04,2.000000e-05
15.240000,4.1887752846,4.1887752846,6.779194e-04,2.000000e-05
15.245000,4.1887752697,4.1887752697,6.714917e-04,2.000000e-05
15.250000,4.1887752547,4.1887752547,6.650641e-04,2.000000e-05
15.255000,4.1887752397,4.1887752397,6.586365e-04,2.000000e-05
15.260000,4.1887752247,4.1887752247,6.522089e-04,2.000000e-05
15.265000,4.1887752096,4.1887752096,6.457813e-04,2.000000e-05
15.270000,4.1887751945,4.1887751945,6.393536e-04,2.000000e-05
15.275000,4.1887751793,4.1887751793,6.329260e-04,2.000000e-05
15.280000,4.1887751641,4.1887751641,6.264984e-04,2.000000e-05
15.285000,4.1887751489,4.1887751489,6.200708e-04,2.000000e-05
15.290000,4.1887751337,4.1887751337,6.136431e-04,2.000000e-05
15.295000,4.1887751184,4.1887751184,6.072155e-04,2.000000e-05
15.300000,4.1887751031,4.1887751031,6.007879e-04,2.000000e-05
15.305000,4.1887750878,4.1887750878,5.943603e-04,2.000000e-05
15.310000,4.1887750724,4.1887750724,5.879327e-04,2.000000e-05
15.315000,4.1887750570,4.1887750570,5.815050e-04,2.000000e-05
15.320000,4.1887750416,4.1887750416,5.750774e-04,2.000000e-05
15.325000,4.1887750262,4.1887750262,5.686498e-04,2.000000e-05
15.330000,4.1887750107,4.1887750107,5.622222e-04,2.000000e-05
15.335000,4.1887749952,4.1887749952,5.557946e-04,2.000000e-05
15.340000,4.1887749797,4.1887749797,5.493670e-04,2.000000e-05
15.345000,4.1887749641,4.1887749641,5.429393e-04,2.000000e-05
15.350000,4.1887749486,4.1887749486,5.365117e-04,2.000000e-05
15.355000,4.1887749330,4.1887749330,5.300841e-04,2.000000e-05
15.360000,4.1887749173,4.1887749173,5.236565e-04,2.000000e-05
15.365000,4.1887749017,4.1887749017,5.172289e-04,2.000000e-05
15.370000,4.1887748860,4.1887748860,5.108013e-04,2.000000e-05
15.375000,4.1887748703,4.1887748703,5.043736e-04,2.000000e-05
15.380000,4.1887748546,4.1887748546,4.979460e-04,2.000000e-05
15.385000,4.1887748388,4.1887748388,4.915184e-04,2.000000e-05
15.390000,4.1887748231,4.1887748231,4.850908e-04,2.000000e-05
15.395000,4.1887748073,4.1887748073,4.786632e-04,2.000000e-05
15.400000,4.1887747915,4.1887747915,4.722356e-04,2.000000e-05
15.405000,4.1887747756,4.1887747756,4.658079e-04,2.000000e-05
15.410000,4.1887747598,4.1887747598,4.593803e-04,2.000000e-05
15.415000,4.1887747439,4.1887747439,4.529527e-04,2.000000e-05
15.420000,4.1887747280,4.1887747280,4.465251e-04,2.000000e-05
15.425000,4.1887747120,4.1887747120,4.400975e-04,2.000000e-05
15.430000,4.1887746961,4.1887746961,4.336699e-04,2.000000e-05
15.435000,4.1887746801,4.1887746801,4.272423e-04,2.000000e-05
15.440000,4.1887746641,4.1887746641,4.208147e-04,2.000000e-05
15.445000,4.1887746481,4.1887746481,4.143870e-04,2.000000e-05
15.450000,4.1887746321,4.1887746321,4.079594e-04,2.000000e-05
15.455000,4.1887746161,4.1887746161,4.015318e-04,2.000000e-05
15.460000,4.1887746000,4.1887746000,3.951042e-04,2.000000e-05
15.465000,4.1887745839,4.1887745839,3.886766e-04,2.000000e-05
15.470000,4.1887745678,4.1887745678,3.822490e-04,2.000000e-05
15.475000,4.1887745517,4.1887745517,3.758214e-04,2.000000e-05
15.480000,4.1887745355,4.1887745355,3.693938e-04,2.000000e-05
15.485000,4.1887745194,4.1887745194,3.629661e-04,2.000000e-05
