t,theta_wrapped,theta_unwrapped,gap,d_cath
11.180000,4.5378438218,4.5378438218,9.993124e-04,2.000000e-05
11.185000,4.5378438014,4.5378438014,9.906522e-04,2.000000e-05
11.190000,4.5378437810,4.5378437810,9.819920e-04,2.000000e-05
11.195000,4.5378437606,4.5378437606,9.733318e-04,2.000000e-05
11.200000,4.5378437401,4.5378437401,9.646715e-04,2.000000e-05
11.205000,4.5378437196,4.5378437196,9.560113e-04,2.000000e-05
11.210000,4.5378436991,4.5378436991,9.473511e-04,2.000000e-05
11.215000,4.5378436786,4.5378436786,9.386908e-04,2.000000e-05
11.220000,4.5378436581,4.5378436581,9.300306e-04,2.000000e-05
11.225000,4.5378436376,4.5378436376,9.213704e-04,2.000000e-05
11.230000,4.5378436170,4.5378436170,9.127101e-04,2.000000e-05
11.235000,4.5378435964,4.5378435964,9.040499e-04,2.000000e-05
11.240000,4.5378435758,4.5378435758,8.953897e-04,2.000000e-05
11.245000,4.5378435552,4.5378435552,8.867294e-04,2.000000e-05
11.250000,4.5378435345,4.5378435345,8.780692e-04,2.000000e-05
11.255000,4.5378435138,4.5378435138,8.694090e-04,2.000000e-05
11.260000,4.5378434932,4.5378434932,8.607487e-04,2.000000e-05
11.265000,4.5378434725,4.5378434725,8.520885e-04,2.000000e-05
11.270000,4.5378434517,4.5378434517,8.434283e-04,2.000000e-05
11.275000,4.5378434310,4.5378434310,8.347681e-04,2.000000e-05
11.280000,4.5378434102,4.5378434102,8.261078e-04,2.000000e-05
11.285000,4.5378433894,4.5378433894,8.174476e-04,2.000000e-05
11.290000,4.5378433686,4.5378433686,8.087874e-04,2.000000e-05
11.295000,4.5378433478,4.5378433478,8.001271e-04,2.000000e-05
11.300000,4.5378433270,4.5378433270,7.914669e-04,2.000000e-05
11.305000,4.5378433061,4.5378433061,7.828067e-04,2.000000e-05
11.310000,4.5378432852,4.5378432852,7.741464e-04,2.000000e-05
11.315000,4.5378432643,4.5378432643,7.654862e-04,2.000000e-05
