t,s,kappa,tau
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0.232377711,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0,nan,nan
0.100000,0.821340364,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,0,nan,nan
0.150000,1.267831405,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,0,nan,nan
0.200000,1.842080655,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,0,nan,nan
0.250000,2.563517338,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,0,nan,nan
0.300000,3.366214639,nan,nan
0.350000,0,nan,nan
0.350000,0,nan,nan
0.350000,0,nan,nan
0.350000,0,nan,nan
0.350000,0,nan,nan
0.350000,0,nan,nan
0.350000,0,nan,nan
0.350000,0,nan,nan
0.350000,0,nan,nan
0.350000,0,nan,nan
0.350000,0,nan,nan
0.350000,0,nan,nan
0.350000,0,nan,nan
0.350000,0,nan,nan
0.350000,0,nan,nan
0.350000,0,nan,nan
0.350000,0,nan,nan
0.350000,0,nan,nan
