t,contact_index,id1,id2,d_tip,gap_surf,theta
1.225000,1,1,0,0.199522378,1.605228151,5.81474234
1.230000,1,1,0,0.1995340284,1.60252869,5.814742335
1.235000,1,1,0,0.1995453947,1.599829047,5.814742329
1.240000,1,1,0,0.1995564837,1.597129224,5.814742323
1.245000,1,1,0,0.1995673023,1.594429226,5.814742317
1.250000,1,1,0,0.199577857,1.591729055,5.814742311
1.255000,1,1,0,0.1995881542,1.589028716,5.814742305
1.260000,1,1,0,0.1995982003,1.586328211,5.814742299
1.265000,1,1,0,0.1996080013,1.583627544,5.814742293
1.270000,1,1,0,0.1996175633,1.580926718,5.814742286
1.275000,1,1,0,0.1996268921,1.578225736,5.81474228
1.280000,1,1,0,0.1996359933,1.5755246,5.814742274
1.285000,1,1,0,0.1996448725,1.572823315,5.814742267
1.290000,1,1,0,0.1996535351,1.570121881,5.814742261
1.295000,1,1,0,0.1996619865,1.567420304,5.814742254
1.300000,1,1,0,0.1996702317,1.564718584,5.814742247
1.305000,1,1,0,0.1996782758,1.562016724,5.814742241
1.310000,1,1,0,0.1996861237,1.559314728,5.814742234
1.315000,1,1,0,0.1996937801,1.556612597,5.814742227
1.320000,1,1,0,0.1997012499,1.553910334,5.81474222
1.325000,1,1,0,0.1997085374,1.551207941,5.814742213
1.330000,1,1,0,0.1997156471,1.548505421,5.814742206
1.335000,0,1,0,0.1997225835,1.545802775,5.814742199
1.340000,0,1,0,0.1997293506,1.543100006,5.814742192
1.345000,0,1,0,0.1997689385,1.540397116,5.813922741
1.350000,0,1,0,0.205430755,1.537694107,5.807920276
1.355000,0,1,0,0.2151864796,1.540141093,5.803619671
1.385000,0,1,0,0.2013641945,1.997262026,0.3111116856
1.390000,0,1,0,0.2005188482,1.987117583,0.3130373869
1.395000,0,1,0,0.2000185639,1.975896911,0.314913195
1.400000,0,1,0,0.1998341015,1.963612432,0.3165082241
1.405000,0,1,0,0.1998303738,1.950372997,0.3175932716
1.410000,0,1,0,0.1998377315,1.93649616,0.3176679304
1.415000,0,1,0,0.1998327279,1.922210191,0.3173374175
1.420000,0,1,0,0.1998365808,1.908306141,0.3173284597
1.425000,0,1,0,0.1998402965,1.894402352,0.3173210028
1.430000,0,1,0,0.1998439456,1.880497127,0.3173135692
1.430000,1,1,0,0.1998439456,0.5301441614,5.392607546
1.435000,0,1,0,0.1998475276,1.866590529,0.317306152
1.435000,1,1,0,0.1998475276,0.5423475017,5.392602997
1.440000,0,1,0,0.199851042,1.852682631,0.3172987502
1.440000,1,1,0,0.199851042,0.5545584349,5.39259858
1.445000,0,1,0,0.1998544886,1.867654282,0.3035588564
1.445000,1,1,0,0.1998544886,1.838773502,0.3172913631
1.445000,2,1,0,0.1998544886,0.5667769304,5.392594291
1.450000,0,1,0,0.1998578673,1.839747144,0.3035463018
1.450000,1,1,0,0.1998578673,1.824863209,0.3172839898
1.450000,2,1,0,0.1998578673,0.5790029579,5.392590127
1.455000,0,1,0,0.1998611783,1.811838804,0.3035337501
1.455000,1,1,0,0.1998611783,1.810951819,0.3172766295
1.455000,2,1,0,0.1998611783,0.5912364883,5.392586084
1.460000,0,1,0,0.1998644219,1.78392933,0.3035212
1.460000,1,1,0,0.1998644219,1.797039398,0.3172692815
1.460000,2,1,0,0.1998644219,0.6034774932,5.392582159
1.465000,0,1,0,0.1998675985,1.756018789,0.3035086502
1.465000,1,1,0,0.1998675985,1.78312601,0.3172619451
1.465000,2,1,0,0.1998675985,0.6157259451,5.392578348
1.470000,0,1,0,0.1998707087,1.728107244,0.3034960995
1.470000,1,1,0,0.1998707087,0.6279818171,5.392574648
1.475000,0,1,0,0.1998737532,1.70019476,0.3034835466
1.475000,1,1,0,0.1998737532,0.6402450832,5.392571056
1.480000,0,1,0,0.1998767327,1.6722814,0.3034709902
1.480000,1,1,0,0.1998767327,0.6525157179,5.392567568
1.485000,0,1,0,0.199879648,1.644367223,0.3034584293
1.485000,1,1,0,0.199879648,0.6647936965,5.392564182
1.490000,0,1,0,0.1998825,1.616452291,0.3034458625
1.490000,1,1,0,0.1998825,0.6770789951,5.392560895
1.495000,0,1,0,0.1998852896,1.588536661,0.3034332887
1.495000,1,1,0,0.1998852896,0.6893715901,5.392557704
1.500000,0,1,0,0.1998880178,1.56062039,0.3034207066
1.500000,1,1,0,0.1998880178,0.7016714587,5.392554606
1.505000,0,1,0,0.1998906856,1.532703535,0.303408115
1.505000,1,1,0,0.1998906856,0.9955539501,5.579757827
1.505000,2,1,0,0.1998906856,0.7139785786,5.392551598
1.510000,0,1,0,0.199893294,1.50478615,0.3033955127
1.510000,1,1,0,0.199893294,0.968277622,5.579754451
1.510000,2,1,0,0.199893294,0.7262929281,5.392548679
1.515000,0,1,0,0.199895844,1.476868288,0.3033828985
1.515000,1,1,0,0.199895844,0.9410071189,5.579751059
1.515000,2,1,0,0.199895844,0.738614486,5.392545846
1.520000,0,1,0,0.1998983368,1.448950002,0.3033702713
1.520000,1,1,0,0.1998983368,0.9137424429,5.579747653
1.520000,2,1,0,0.1998983368,0.7509432314,5.392543096
1.525000,0,1,0,0.1999007732,1.421031344,0.3033576297
1.525000,1,1,0,0.1999007732,0.8864835959,5.57974423
1.525000,2,1,0,0.1999007732,0.7632791441,5.392540426
1.530000,0,1,0,0.1999031546,1.393112362,0.3033449727
1.530000,1,1,0,0.1999031546,0.8592305798,5.579740793
1.530000,2,1,0,0.1999031546,0.775622204,5.392537835
1.535000,0,1,0,0.1999054818,1.365193106,0.303332299
1.535000,1,1,0,0.1999054818,0.8319833964,5.579737339
1.535000,2,1,0,0.1999054818,0.7879723918,5.392535321
1.540000,0,1,0,0.199907756,1.337273623,0.3033196073
1.540000,1,1,0,0.199907756,0.8047420476,5.57973387
1.540000,2,1,0,0.199907756,0.8003296882,5.392532881
1.545000,0,1,0,0.1999099783,1.30935396,0.3033068965
1.545000,1,1,0,0.1999099783,0.7775065349,5.579730384
1.545000,2,1,0,0.1999099783,0.8126940744,5.392530513
1.550000,0,1,0,0.1999121497,1.281434162,0.3032941654
1.550000,1,1,0,0.1999121497,0.7502768598,5.579726881
1.550000,2,1,0,0.1999121497,0.8250655319,5.392528216
1.555000,0,1,0,0.1999142713,1.253514273,0.3032814128
1.555000,1,1,0,0.1999142713,0.7230530237,5.579723362
1.555000,2,1,0,0.1999142713,0.8374440424,5.392525986
1.560000,0,1,0,0.1999163441,1.225594337,0.3032686373
1.560000,1,1,0,0.1999163441,0.6958350279,5.579719826
1.560000,2,1,0,0.1999163441,0.8498295878,5.392523823
1.565000,0,1,0,0.1999183692,1.197674396,0.3032558378
1.565000,1,1,0,0.1999183692,0.6686228732,5.579716272
1.565000,2,1,0,0.1999183692,0.8622221504,5.392521725
1.570000,0,1,0,0.1999203476,1.169754492,0.303243013
1.570000,1,1,0,0.1999203476,0.6414165604,5.5797127
1.570000,2,1,0,0.1999203476,0.8746217126,5.392519689
1.575000,0,1,0,0.1999222803,1.141834663,0.3032301616
1.575000,1,1,0,0.1999222803,0.6142160901,5.579709111
1.575000,2,1,0,0.1999222803,0.8870282568,5.392517715
1.580000,0,1,0,0.1999241684,1.11391495,0.3032172825
1.580000,1,1,0,0.1999241684,0.5870214625,5.579705502
1.585000,0,1,0,0.1999260127,1.08599539,0.3032043742
1.585000,1,1,0,0.1999260127,0.5598326777,5.579701875
1.590000,0,1,0,0.2011387004,1.058076021,0.296841811
1.590000,1,1,0,0.2011387004,0.5326497354,5.580327323
1.595000,0,1,0,0.2061395342,1.030156878,0.2887556213
1.595000,1,1,0,0.2061395342,0.5054726349,5.580926181
1.600000,0,1,0,0.2075458503,1.015056025,0.2868341607
1.600000,1,1,0,0.2075458503,0.4999983108,5.58090007
1.605000,0,1,0,0.2074817016,1.002830461,0.2865542356
1.605000,1,1,0,0.2074817016,0.4999989556,5.580889292
1.610000,0,1,0,0.2074175969,0.990588812,0.2862753937
1.610000,1,1,0,0.2074175969,0.4999989737,5.580878287
1.615000,0,1,0,0.2073542998,0.978331,0.2859979854
1.615000,1,1,0,0.2073542998,0.499998986,5.580867582
1.620000,0,1,0,0.2072917877,0.9660575244,0.2857220125
1.620000,1,1,0,0.2072917877,0.4999989984,5.580857179
1.625000,0,1,0,0.2072300398,0.9537688912,0.2854474682
1.625000,1,1,0,0.2072300398,0.4999990109,5.580847069
1.630000,0,1,0,0.2071690365,0.9414655893,0.2851743456
1.630000,1,1,0,0.2071690365,0.4999990235,5.580837239
1.635000,0,1,0,0.2071087594,0.9291480901,0.2849026371
1.635000,1,1,0,0.2071087594,0.4999990361,5.580827681
1.640000,0,1,0,0.2070491914,0.9168168484,0.2846323354
1.640000,1,1,0,0.2070491914,0.4999990487,5.580818383
1.645000,0,1,0,0.2069903165,0.9044723031,0.2843634326
1.645000,1,1,0,0.2069903165,0.4999990614,5.580809337
1.650000,0,1,0,0.2069321195,0.8921148776,0.2840959207
1.650000,1,1,0,0.2069321195,0.499999074,5.580800534
1.655000,0,1,0,0.2068745861,0.8797449808,0.2838297914
1.655000,1,1,0,0.2068745861,0.4999990867,5.580791964
1.660000,0,1,0,0.2068177031,0.8673630071,0.2835650365
1.660000,1,1,0,0.2068177031,0.4999990993,5.580783621
1.665000,0,1,0,0.2067614576,0.8549693374,0.2833016473
1.665000,1,1,0,0.2067614576,0.4999991119,5.580775495
1.670000,0,1,0,0.2067058377,0.8425643395,0.2830396149
1.670000,1,1,0,0.2067058377,0.4999991245,5.580767579
1.675000,0,1,0,0.2066508319,0.8301483686,0.2827789304
1.675000,1,1,0,0.2066508319,0.499999137,5.580759866
1.680000,0,1,0,0.2065964295,0.8177217677,0.2825195847
1.680000,1,1,0,0.2065964295,0.4999991495,5.58075235
1.685000,0,1,0,0.2065426202,0.805284868,0.2822615684
1.685000,1,1,0,0.2065426202,0.4999991619,5.580745022
1.690000,0,1,0,0.206489394,0.7928379898,0.2820048721
1.690000,1,1,0,0.206489394,0.4999991742,5.580737878
1.695000,0,1,0,0.2064367416,0.7803814423,0.281749486
1.695000,1,1,0,0.2064367416,0.4999991864,5.58073091
1.700000,0,1,0,0.2063846541,0.7679155245,0.2814954004
1.700000,1,1,0,0.2063846541,0.4999991986,5.580724114
1.705000,0,1,0,0.2063331228,0.7554405251,0.2812426054
1.705000,1,1,0,0.2063331228,0.4999992106,5.580717482
1.710000,0,1,0,0.2062820535,0.7429567236,0.2809912055
1.710000,1,1,0,0.2062820535,0.4999992226,5.580711017
1.715000,0,1,0,0.2062315034,0.7304643897,0.2807411075
1.715000,1,1,0,0.2062315034,0.4999992345,5.580704713
1.720000,0,1,0,0.2061818474,0.7179636154,0.2804917938
1.720000,1,1,0,0.2061818474,0.4999989067,5.580698549
1.725000,0,1,0,0.206132582,0.7054547875,0.2802438999
1.725000,1,1,0,0.206132582,0.4999984939,5.580692525
1.730000,0,1,0,0.2060834291,0.69293877,0.2799977678
1.730000,1,1,0,0.2060834291,0.4999991749,5.580686625
1.735000,0,1,0,0.2060350303,0.6804148845,0.2797525405
